Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index Flats and maisonettes,Average price Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Pivotable date
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-01,273,monthly,92.22,83528,-0.07,4.75,01-01-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-02,279,monthly,93.46,84653,1.35,7.07,01-02-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-03,314,monthly,94.38,85482,0.98,7.48,01-03-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-04,291,monthly,94.39,85496,0.02,6.82,01-04-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-05,305,monthly,95.5,86497,1.17,6.14,01-05-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-06,331,monthly,95.24,86260,-0.27,5.02,01-06-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-07,353,monthly,97.07,87918,1.92,7.97,01-07-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-08,370,monthly,98.45,89170,1.42,8.24,01-08-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-09,368,monthly,101.34,91789,2.94,12.07,01-09-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-10,371,monthly,102.04,92420,0.69,10.03,01-10-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-11,336,monthly,100.44,90975,-1.56,9.54,01-11-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2014-12,312,monthly,100.21,90763,-0.23,8.59,01-12-14
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-01,242,monthly,100,90573,-0.21,8.43,01-01-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-02,259,monthly,102.01,92397,2.01,9.15,01-02-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-03,290,monthly,101.82,92222,-0.19,7.89,01-03-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-04,255,monthly,100.36,90897,-1.44,6.32,01-04-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-05,324,monthly,99.33,89963,-1.03,4.01,01-05-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-06,370,monthly,98.1,88856,-1.23,3.01,01-06-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-07,357,monthly,100.49,91016,2.43,3.52,01-07-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-08,368,monthly,102.34,92690,1.84,3.95,01-08-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-09,411,monthly,104.33,94492,1.94,2.94,01-09-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-10,435,monthly,105.15,95235,0.79,3.05,01-10-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-11,351,monthly,104.07,94255,-1.03,3.61,01-11-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2015-12,359,monthly,103.88,94084,-0.18,3.66,01-12-15
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2016-01,271,monthly,102.9,93200,-0.94,2.9,01-01-16
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2016-02,319,monthly,103.99,94189,1.06,1.94,01-02-16
City of Nottingham,http://landregistry.data.gov.uk/id/region/city-of-nottingham,E06000018,2016-03,679,monthly,104.91,95018,0.88,3.03,01-03-16
